Provincia,Tipo de Parto,Rango de Edad,Cantidad,Año
San Pedro De Macorís,Cesarea,Menor de 15,9,2022
San Pedro De Macorís,Vaginal,15-19,547,2022
San Pedro De Macorís,Vaginal,Menor de 15,23,2022
Sánchez Ramírez,Cesarea,15-19,192,2022
Sánchez Ramírez,Cesarea,Menor de 15,5,2022
Sánchez Ramírez,Vaginal,15-19,143,2022
Sánchez Ramírez,Vaginal,Menor de 15,8,2022
Santiago,Cesarea,15-19,732,2022
Santiago,Cesarea,Menor de 15,32,2022
Santiago,Vaginal,15-19,1015,2022
Santiago,Vaginal,Menor de 15,59,2022
Santiago Rodríguez,Cesarea,15-19,91,2022
Santiago Rodríguez,Cesarea,Menor de 15,4,2022
Santiago Rodríguez,Vaginal,15-19,66,2022
Santiago Rodríguez,Vaginal,Menor de 15,4,2022
Santo Domingo,Cesarea,15-19,1891,2022
Santo Domingo,Cesarea,Menor de 15,46,2022
Santo Domingo,Vaginal,15-19,2916,2022
Santo Domingo,Vaginal,Menor de 15,88,2022
Valverde,Cesarea,15-19,328,2022
Valverde,Cesarea,Menor de 15,17,2022
Valverde,Vaginal,15-19,256,2022
Valverde,Vaginal,Menor de 15,7,2022
Distrito Nacional,Vaginal,Menor de 15,39,2023
Monte Plata,Vaginal,Menor de 15,1,2023
Santo Domingo,Vaginal,Menor de 15,84,2023
Peravia,Vaginal,Menor de 15,12,2023
San Cristóbal,Vaginal,Menor de 15,16,2023
San José De Ocoa,Vaginal,Menor de 15,1,2023
Espaillat,Vaginal,Menor de 15,6,2023
Puerto Plata,Vaginal,Menor de 15,24,2023
Santiago,Vaginal,Menor de 15,37,2023
Duarte,Vaginal,Menor de 15,8,2023
Hermanas Mirabal,Vaginal,Menor de 15,1,2023
María Trinidad Sánchez,Vaginal,Menor de 15,2,2023
Samaná,Vaginal,Menor de 15,2,2023
Bahoruco,Vaginal,Menor de 15,4,2023
Barahona,Vaginal,Menor de 15,20,2023
Independencia,Vaginal,Menor de 15,2,2023
Pedernales,Vaginal,Menor de 15,1,2023
El Seibo,Vaginal,Menor de 15,4,2023
Hato Mayor,Vaginal,Menor de 15,1,2023
La Altagracia,Vaginal,Menor de 15,17,2023
La Romana,Vaginal,Menor de 15,21,2023
San Pedro De Macorís,Vaginal,Menor de 15,18,2023
Azua,Vaginal,Menor de 15,9,2023
Elías Piña,Vaginal,Menor de 15,4,2023
San Juan,Vaginal,Menor de 15,37,2023
Dajabón,Vaginal,Menor de 15,6,2023
Monte Cristi,Vaginal,Menor de 15,8,2023
Santiago Rodríguez,Vaginal,Menor de 15,2,2023
Valverde,Vaginal,Menor de 15,10,2023
La Vega,Vaginal,Menor de 15,14,2023
Monseñor Nouel,Vaginal,Menor de 15,8,2023
Sánchez Ramírez,Vaginal,Menor de 15,1,2023
Distrito Nacional,Cesarea,Menor de 15,61,2023
Monte Plata,Cesarea,Menor de 15,6,2023
Santo Domingo,Cesarea,Menor de 15,75,2023
Peravia,Cesarea,Menor de 15,7,2023
San Cristóbal,Cesarea,Menor de 15,19,2023
San José De Ocoa,Cesarea,Menor de 15,5,2023
Espaillat,Cesarea,Menor de 15,10,2023
Puerto Plata,Cesarea,Menor de 15,11,2023
Santiago,Cesarea,Menor de 15,36,2023
Duarte,Cesarea,Menor de 15,15,2023
